,TASA_PISO_TIERRA,TASA_SIN_DRENAJE,TASA_SIN_ELEC,TASA_SIN_BIENES,TASA_1_CUARTO,TASA_LETRINA,HACINAMIENTO,SCORE_REZAGO,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques,VALOR_CATASTRAL_MAX,abandono_alto
2603000011515,0.0066555,0.0,0.0,0.0,0.014925,0.0,1.54,1.54,1.54,223.0,3.0,159.0,5.0,8.53,0.0,0.0,0.0,0.0,0.0,0.0,1281.0,0
260300001152A,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.47,0.47,0.47,3.0,3.0,159.0,3.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000011534,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1254.0,0
2603000011746,0.005827,0.0,0.002913,0.0,0.032047,0.0,0.67,0.118465,0.67,1039.0,937.0,808.0,1422.0,11.26,4.0,4.0,0.0,0.0,0.0,0.0,2134.0,0
2603000011750,0.003584,0.0,0.003584,0.004779,0.043011,0.0,0.66,0.11916,0.66,702.0,670.0,560.0,899.0,12.27,1.0,0.0,0.0,0.0,0.0,0.0,2414.0,0
260300001177A,0.0066555,0.0,0.0,0.0,0.023548,0.0,0.64,0.165887,0.64,543.0,522.0,436.0,685.0,12.06,1.0,0.0,0.0,0.0,0.0,0.0,1967.0,0
2603000011799,0.004304,0.0,0.007174,0.0,0.02439,0.0,0.68,0.143174,0.68,516.0,523.0,413.0,723.0,11.16,0.0,3.0,0.0,0.0,0.0,0.0,2262.0,0
2603000011835,0.007246,0.0,0.003623,0.0,0.009662,0.0,0.61,0.105088,0.61,704.0,637.0,573.0,881.0,12.19,2.0,3.0,2.0,0.0,0.0,0.0,1967.0,0
260300001184A,0.0066555,0.0,0.0,0.0,0.052632,0.0,0.61,0.132526,0.61,677.0,650.0,541.0,860.0,12.42,0.0,0.0,1.0,0.0,0.0,0.0,3303.0,0
2603000011854,0.0,0.0,0.0,0.0,0.022133,0.0,0.51,0.076019,0.51,513.0,486.0,427.0,576.0,13.42,6.0,3.0,1.0,0.0,0.0,0.0,6637.0,0
2603000011869,0.011696,0.0,0.0,0.004386,0.032164,0.0,0.59,0.106374,0.59,634.0,524.0,523.0,765.0,12.4,1.0,4.0,0.0,0.0,0.0,0.0,3303.0,0
2603000011873,0.0066555,0.0,0.0,0.0,0.020588,0.0,0.51,0.088431,0.51,712.0,698.0,636.0,785.0,14.21,7.0,6.0,2.0,0.0,0.0,0.0,4402.0,0
2603000011888,0.0,0.0,0.0,0.0,0.011429,0.0,0.51,0.086905,0.51,547.0,517.0,469.0,597.0,14.21,2.0,6.0,0.0,0.0,0.0,0.0,7042.0,0
2603000011905,0.010526,0.0,0.005263,0.005263,0.036842,0.0,0.64,0.099699,0.64,455.0,416.0,342.0,623.0,11.5,0.0,1.0,0.0,0.0,0.0,0.0,4306.0,0
260300001191A,0.0,0.0,0.0,0.0,0.01002,0.0,0.64,0.108337,0.64,391.0,386.0,305.0,555.0,11.81,3.0,2.0,0.0,0.0,0.0,0.0,4306.0,0
2603000011924,0.0066555,0.0,0.0,0.0,0.019841,0.0,0.6,0.103307,0.6,444.0,408.0,351.0,544.0,12.41,3.0,0.0,2.0,0.0,0.0,0.0,2971.0,0
2603000011939,0.005952,0.0,0.0,0.0,0.055556,0.0,0.58,0.091644,0.58,467.0,413.0,386.0,550.0,13.18,0.0,1.0,1.0,0.0,0.0,0.0,3303.0,0
2603000011943,0.0,0.0,0.0,0.007212,0.016827,0.0,0.55,0.114808,0.55,428.0,371.0,356.0,501.0,13.14,6.0,0.0,4.0,0.0,0.0,0.0,3303.0,1
2603000011958,0.0066555,0.0,0.0,0.0,0.010909,0.0,0.46,0.078485,0.46,316.0,309.0,302.0,338.0,14.32,9.0,7.0,4.0,0.0,0.0,0.0,7042.0,0
2603000011996,0.0,0.0,0.0,0.0,0.022321,0.0,0.57,0.084617,0.57,230.0,195.0,186.0,267.0,12.5,9.0,3.0,0.0,0.0,0.0,0.0,4306.0,1
2603000012000,0.0066555,0.0,0.0,0.009646,0.093248,0.0,0.61,0.118816,0.61,322.0,265.0,267.0,386.0,12.95,0.0,5.0,1.0,0.0,0.0,0.0,2971.0,1
2603000012015,0.0,0.0,0.0,0.0,0.015385,0.0,0.54,0.079341,0.54,309.0,285.0,261.0,360.0,12.71,10.0,16.0,4.0,0.0,0.0,0.0,7428.0,1
260300001202A,0.006897,0.004138,0.005517,0.005517,0.012414,0.0,0.61,0.092069,0.61,803.0,716.0,689.0,993.0,12.64,8.0,8.0,5.0,0.0,0.0,0.0,11723.0,0
